0
&quot;Loving him was red&quot; THE HIGHLIGHT😭🙏🏻
We are team Jeremiah
<b>the</b>
TEH song “daylight” is just all the vibessssss
"NGL, Belly is a red flag. She is going to end up with Conrad.. I read the book"
Team Conrad
Daylight it is.
Team Conrad!
TEAM CONRAD!!!!
"Am I crazy, or are the lyrics from Red that are actually in the trailer (NOT THE SONG ITSELF) &quot;But loving him IS red&quot;???? Because if that is true, that could be a pretty crucial hint"
"GUYS HAVE YOU SEEN THE PICTURE THEY USED FOR SEASON 3? ITS INSPIRED BY SABRINA, SEARCH IT UP IT GIVES MORE LORE!!"
If she goes back to Conrad I will lose hope Team Germaya forever
BAYILAZAM
She will marry Conrad this season I bet 🙄
the choice of taylor songs are so accurate!😭
Omg I&#39;m so excited for thisssssss
I <b>swear</b> if y&#39;all steal the Jellyfish ship from me again😤
Team Connie all the way! ❤❤
CAN SOMEONE PLEASE PUT THIS AUDIO ON SPOTIFYYY PLEASEEEEE😭😭😭
"Guys, she changed the lyrics. It’s “Loving him IS red” she did the lyric change for the trailer. So it goes “I used to think love was burning red” with Jeremiah to “loving him is red” with Conrad 😭❤️"
🥰🥰🥰
I thought it was Bella Hadid in the thumbnail
the amount of jeremiah clips is literally js telling us she’s ending up with conrad or nobody
"I read the book, so the last scene about Conrad was that, BELLY GOES TO cousin&#39;s HOUSE FOR CHRISTMAS, SHE haD had trouble putting up THE FIRE, BUT WHEN SOMEONE knockedon  THE DOOR, SHE THOUGHT IT WAS A BURGLAR AND SO SHE OPENED THE DOOR HOLDING idk what that stick is called, but yea conrad comes AND HE MAKES FUN ABOUT THE hot CHOC ON THE MOUTH saying &quot;did you dump your face in the hotchocolate&quot; , AND CONRAD ENDS UP GOING UPSTAIRS TO HIS ROOM AND I DONT THINK ANYTHING MUCH HAPPENED THT NIGHT . and conrad helps to start the fire(PS :sorry for my bad eng, I&#39;m literally so tired )"
The ONLY time when I want to hear a Taylor Swift song is with this show. It actually fits!
i hope she choose no one. just end it with Belly choosing herself and not hurting the brothers. &lt;3
THIS SEASON BETTER NOT PISS ME OFF!
"THIS IS GOING TO BE CHAOTIC AND LOVEABLE LAST SEASON. EVERYONE IS HOT, EVERYONE IS OLDER AND MATURE ( a little more hopefully) I CANNOT WAIT"
The switch from daylight to “but loving him was RED” it’s INSANE
