Title,Author(s),First Published Year,Open Library ID,ISBN,OLID,LCCN,OCLC,Publishers,Publish Places,Publish Dates,Number of Pages,Subjects,Cover URL
Estuche trilogía A todos los chicos de los que me enamoré,"['Jenny Han', 'Marta Becerril', 'Rosa María Sanz Ruiz']",2018.0,/works/OL34918270W,,,,,,,,,,https://covers.openlibrary.org/b/id/13732222-M.jpg
Fire with Fire,"['Siobhan Vivian,Jenny Han']",,/works/OL30106172W,,,,,,,,,,
Pack PD CDL,"['Jenny Han', 'Marta Becerril']",2018.0,/works/OL34918253W,,,,,,,,,,
Pack A todos CDL,"['Jenny Han', 'Marta Becerril']",2018.0,/works/OL34918254W,,,,,,,,,,
El verano en que me enamoré,"['Jenny Han', 'Marta Becerril']",2023.0,/works/OL35011477W,,,,,,,,,,https://covers.openlibrary.org/b/id/13971618-M.jpg
Zhi Suo You Wo Ceng Ai Guo de Nan Hai,"['Jenny Han', 'Sining Wang']",2018.0,/works/OL21720344W,,,,,,,,,,https://covers.openlibrary.org/b/id/13536899-M.jpg
Fire with Fire,"['Han, Jenny, Vivian, Siobhan']",2013.0,/works/OL31419149W,,,,,,,,,,
Sempre ens quedarà l'estiu,"['Jenny Han', 'Aïda Garcia Pons']",2019.0,/works/OL21162535W,,,,,,,,,,https://covers.openlibrary.org/b/id/10328561-M.jpg
Un estiu sense tu,"['Jenny Han', 'Martí Mas Fontcoberta']",2023.0,/works/OL34951001W,,,,,,,,,,https://covers.openlibrary.org/b/id/13777141-M.jpg
L'estiu que em vaig enamorar,"['Jenny Han', 'Martí Mas Fontcoberta']",2023.0,/works/OL34951002W,,,,,,,,,,https://covers.openlibrary.org/b/id/13777142-M.jpg
Pack Para siempre CDL,"['Jenny Han', 'Rosa María Sanz Ruiz']",2018.0,/works/OL34918252W,,,,,,,,,,
Cousins Beach. Un estiu sense tu,"['Jenny Han', 'Martí Mas Fontcuberta', 'Montse Molist Forcada']",2011.0,/works/OL21162551W,,,,,,,,,,https://covers.openlibrary.org/b/id/10328577-M.jpg
Nightmares and Night Terrors,"['Jerome Brooke', 'Jenny Han', 'Christina Murphy', 'Ron Koppleberger']",2012.0,/works/OL39703804W,,,,,,,,,,
